Geography,Year,Sex,Age Standardize Rate,Prevalent Cases(Across all ages),Population,Standard Error,Standard Score,Alberta Rate
Z3.1.A.01,2016,BOTH,19.516,3887.6900450000003,20921.619581000003,0.22698000000000002,-4.19,20.467000000000002
Z3.1.B.02,2016,BOTH,21.057,3430.3698278,18366.322583,0.24525000000000002,2.41,20.467000000000002
Z3.2.A.01,2016,BOTH,18.693,1564.2580689000001,6729.0610002,0.35606000000000004,-4.98,20.467000000000002
Z3.2.A.02,2016,BOTH,19.112000000000002,2714.2686538000003,12561.156564,0.27991,-4.840000000000001,20.467000000000002
Z3.2.B.03,2016,BOTH,20.059,3686.2565701000003,16383.615757,0.24112,-1.6900000000000002,20.467000000000002
Z3.2.C.04,2016,BOTH,18.566,3605.7110345,25011.143425000002,0.22210000000000002,-8.56,20.467000000000002
Z3.2.C.05,2016,BOTH,18.604000000000003,2197.5900153,16684.691182000002,0.27774,-6.71,20.467000000000002
Z3.3.A.01,2016,BOTH,19.645000000000003,2382.7472088000004,10872.79443,0.30477000000000004,-2.7,20.467000000000002
Z3.3.A.02,2016,BOTH,19.849,2572.1259615000004,11929.244439,0.29055000000000003,-2.13,20.467000000000002
Z3.3.A.04,2016,BOTH,21.053,970.3596326200001,3774.4232591,0.5214,1.12,20.467000000000002
Z3.3.B.03,2016,BOTH,21.391000000000002,2877.3810665,12442.016897,0.29575,3.12,20.467000000000002
Z3.3.B.05,2016,BOTH,23.745000000000005,1597.5677293,6257.775154500001,0.42885,7.640000000000001,20.467000000000002
Z3.4.A.01,2016,BOTH,24.344,7756.753445100001,34460.558378,0.19273,20.12,20.467000000000002
Z3.4.B.02,2016,BOTH,21.07,2663.0390338,12227.889495000001,0.2978,2.03,20.467000000000002
Z3.4.B.03,2016,BOTH,18.661,2124.7909707000003,9726.7043754,0.31219,-5.78,20.467000000000002
Z3.4.B.04,2016,BOTH,18.005,3945.2533973000004,22421.094759,0.21377000000000002,-11.52,20.467000000000002
Z3.5.A.01,2016,BOTH,24.548,8130.5487303,30128.608929,0.19811,20.6,20.467000000000002
Z3.5.B.02,2016,BOTH,24.96,2059.7628489000003,7751.0910071,0.39144,11.48,20.467000000000002
Z3.5.B.03,2016,BOTH,23.298000000000002,735.7678627900001,2471.7552835,0.6610400000000001,4.28,20.467000000000002
Z3.5.B.04,2016,BOTH,23.48,2383.8267473,8744.0923637,0.35810000000000003,8.41,20.467000000000002
Z3.5.C.05,2016,BOTH,22.488000000000003,1078.6020479000001,4977.611675200001,0.48162000000000005,4.2,20.467000000000002
Z3.5.C.06,2016,BOTH,23.603,2532.1367190000005,11715.292996,0.32441000000000003,9.670000000000002,20.467000000000002
Z3.6.A.01,2016,BOTH,24.927000000000003,1886.4539037000002,6476.277693800001,0.41164,10.83,20.467000000000002
Z3.6.A.02,2016,BOTH,23.843,1244.6452643000002,5709.7121911,0.49885,6.7700000000000005,20.467000000000002
Z3.6.A.03,2016,BOTH,22.722,2849.5751121,10652.744366,0.31964000000000004,7.05,20.467000000000002
Z3.6.B.04,2016,BOTH,22.454,7097.8691385,36319.583152,0.18588,10.690000000000001,20.467000000000002
Z3.7.A.01,2016,BOTH,19.402,5557.8993277,36959.799293000004,0.18489,-5.76,20.467000000000002
Z3.7.B.02,2016,BOTH,18.941000000000003,2990.718162,15826.735343,0.25697000000000003,-5.94,20.467000000000002
Z3.7.C.03,2016,BOTH,18.592,8361.644011100001,53759.57161,0.14514,-12.92,20.467000000000002
Z4.1.A.01,2016,BOTH,20.157,10918.131666000001,59779.385218,0.13799,-2.25,20.467000000000002
Z4.1.B.02,2016,BOTH,20.215000000000003,5861.406159200001,31378.677622000003,0.1852,-1.36,20.467000000000002
Z4.1.C.03,2016,BOTH,21.494000000000003,9867.954580900001,46963.77985500001,0.15597,6.59,20.467000000000002
Z4.1.D.04,2016,BOTH,19.814,15460.333984,92238.018847,0.11219000000000001,-5.82,20.467000000000002
Z4.2.A.01,2016,BOTH,22.317,11763.962305000001,65640.195305,0.13631000000000001,13.57,20.467000000000002
Z4.2.B.02,2016,BOTH,22.634,17260.555166,80166.61210500001,0.11981,18.08,20.467000000000002
Z4.2.C.03,2016,BOTH,20.450000000000003,12890.297001,72946.90061000001,0.12468000000000001,-0.14,20.467000000000002
Z4.2.D.04,2016,BOTH,22.875,2993.8434225,14717.14385,0.28295000000000003,8.51,20.467000000000002
Z4.2.E.05,2016,BOTH,23.196,14637.377794000002,82859.17027500001,0.12618000000000001,21.630000000000003,20.467000000000002
Z4.3.A.01,2016,BOTH,18.367,16967.162986000003,96439.527717,0.10394,-20.200000000000003,20.467000000000002
Z4.3.B.02,2016,BOTH,21.877000000000002,9529.5585417,52195.46602,0.15478,9.11,20.467000000000002
Z4.3.C.03,2016,BOTH,22.259000000000004,11999.379798000002,75454.796164,0.13898,12.89,20.467000000000002
Z4.4.A.01,2016,BOTH,19.086,6961.1114974,41296.115386000005,0.16769,-8.24,20.467000000000002
Z4.4.B.02,2016,BOTH,17.767,12865.199886,74490.273503,0.11461,-23.56,20.467000000000002
Z4.4.C.03,2016,BOTH,20.196,8194.4880892,75258.015947,0.15996,-1.6900000000000002,20.467000000000002
Z4.5.A.01,2016,BOTH,20.882,5100.1936991,29683.386703000004,0.20177,2.05,20.467000000000002
Z4.5.B.02,2016,BOTH,23.468000000000004,1198.2139493,6040.107522300001,0.45208000000000004,6.640000000000001,20.467000000000002
Z4.5.B.03,2016,BOTH,23.07,4562.1286054,24084.037818,0.22581,11.53,20.467000000000002
Z4.6.A.01,2016,BOTH,20.613000000000003,15480.702309,79013.94090300001,0.11553000000000001,1.2600000000000002,20.467000000000002
